treebank_id,baseline_kind,n_obs,beta_word_reduced,se_word_reduced,beta_word_full,se_word_full,p_word_full,beta_head_full,se_head_full,p_head_full,beta_ntokens_full,beta_arity_full,beta_depth_full,dropped_covariates,shrinkage,lr_stat,lr_p,pseudo_r2_reduced,pseudo_r2_full,supports_h3
ar_padt,B1_uniform,10642,-7.486112927815175,0.17493740732401303,-6.092958772745017,0.3550770786720918,5.333583999898625e-66,-1.1976413111438111,0.2717568310818286,1.0479624726056416e-05,6.542467858997409,-0.17402700320322792,-0.6313743453528884,,0.18609846905912908,19.503619866689405,1.0040922375144119e-05,0.3200566665165596,0.32137868191127184,False
ar_padt,B2_arity_preserving,10642,-4.477763170380905,0.12440753511908696,-1.3153408465516863,0.2696825834669741,1.0751146637739114e-06,-2.664915537549991,0.21211503721598488,3.350063213880597e-36,3.6439043543509646,-0.2193976542631075,-0.3989225358916646,,0.7062504655779293,162.70958215451174,2.8951251062514836e-37,0.1596624717145979,0.17069142807991589,True
en_ewt,B1_uniform,22216,-6.058524359598732,0.11565266819163215,-4.44166135680546,0.16812780729103485,8.430766957656915e-154,-1.281982402401962,0.1025630764084044,7.516624591923864e-36,4.870597590824216,-0.19303815167302757,-0.3190394734792415,,0.2668740615413422,161.80039462431523,4.574010104904439e-37,0.17600677940116272,0.18126039451950926,False
en_ewt,B2_arity_preserving,22216,-1.5395832930054434,0.06646707248036542,0.32942731971033695,0.10898027887992795,0.002504345468278568,-1.4362191523932852,0.07079294119568928,1.65465131205824e-91,0.9090731456075095,-0.18813519348365382,-0.016682642588753196,,0.7860282576415486,444.8681817118195,9.439637948909947e-99,0.022287777442498102,0.036732527163530926,True
fi_tdt,B1_uniform,22326,-4.1137819934531,0.09632778388516809,-4.3125701977860915,0.13367915229514568,2.4980705850356047e-228,0.1686083260853508,0.0776992801970111,0.03000598011415707,3.6477733255588163,0.06451434677747528,-0.253866064446835,,-0.048322493668685906,4.708507794970501,0.030013692792130498,0.0956850581096107,0.09583718882818526,False
fi_tdt,B2_arity_preserving,22326,-0.6031754509593239,0.05600722585089166,-0.3601781904950058,0.08425590601788512,1.9129831551097084e-05,-0.20626789818742816,0.05422179032283498,0.0001422911517825224,0.5293392825053383,-0.02575109600627088,-0.050745802985560674,,0.4028633129512179,14.580235214980348,0.00013431597267588458,0.004433163424333975,0.00490424720646343,False
ja_gsd,B1_uniform,13994,-18.10401389785333,0.36334445732559806,-14.308094968269561,0.4351580320160636,4.2139920038505975e-237,-3.7182598575524777,0.2726760049727668,2.4400224047560485e-42,13.101419919947457,-0.1517237437321717,-1.0125371055610106,,0.20967278035694992,199.298263875251,2.971445300547722e-45,0.5874095510231322,0.5976827615758906,False
ja_gsd,B2_arity_preserving,13994,-7.091774862679367,0.1520996035084248,-3.3927911970764035,0.19653436118606427,8.92003480412658e-67,-3.184463179333369,0.13182484588445137,6.337714654078885e-129,5.323903438964797,-0.2795821745928408,-0.401340868223043,,0.5215878587839771,644.4640155387224,3.5734406028432605e-142,0.24648386485715912,0.2797039963152519,True
tr_imst,B1_uniform,6424,-3.1257178131279106,0.14024029671876756,-5.594870384691397,0.27856230410270316,1.0021011358559335e-89,1.6518471887199055,0.1494763580067113,2.170458364341033e-28,4.218823251519804,0.10224088180128993,-0.5768027475935376,,-0.789947371830281,128.69032262988367,7.926967387719878e-30,0.08463073299981994,0.09908130042420771,False
tr_imst,B2_arity_preserving,6424,-0.3983781133760351,0.08983801860685348,-0.613634175087463,0.181611045366005,0.0007279307313941032,0.14812149267244615,0.10807723623350106,0.17052614068659022,0.5263909145698107,0.007777597241280375,-0.08854582955119243,,-0.5403310435085182,1.8819167217025097,0.17011645964936123,0.0023037146943930553,0.002515034115452064,False
