treebank_id,lam,n_sentences,prob_adv_word,prob_adv_head,max_prob_adv,rank_sep,magnitude_sep,delta_word,delta_head,med_rel_word,med_rel_head
ar_padt,0.0,3648,0.8937774122807017,0.8717105263157895,0.8937774122807017,-0.044133771929824483,0.1359564698359489,-0.7875548245614035,-0.743421052631579,0.27429994042046135,0.41025641025641024
ar_padt,0.1,3648,0.8961074561403509,0.879797149122807,0.8961074561403509,-0.03262061403508765,0.13391758446278823,-0.7922149122807017,-0.7595942982456141,0.2660824155372118,0.4
ar_padt,0.2,3648,0.8967927631578947,0.8813048245614035,0.8967927631578947,-0.03097587719298245,0.13299370021437829,-0.7935855263157895,-0.762609649122807,0.2547614018264381,0.38775510204081637
ar_padt,0.3,3648,0.9035087719298246,0.885827850877193,0.9035087719298246,-0.035361842105263164,0.128891520000457,-0.8070175438596491,-0.7716557017543859,0.2412253694581281,0.3701168894585851
ar_padt,0.4,3648,0.9011787280701754,0.8854166666666666,0.9011787280701754,-0.03152412280701755,0.126865376940614,-0.8023574561403509,-0.7708333333333334,0.2197352831253926,0.3466006600660066
ar_padt,0.5,3648,0.8978892543859649,0.8843201754385965,0.8978892543859649,-0.027138157894736836,0.11745729363552276,-0.7957785087719298,-0.768640350877193,0.19574458764627184,0.3132018812817946
ar_padt,0.6,3648,0.8976151315789473,0.8852796052631579,0.8976151315789473,-0.02467105263157887,0.10964912280701744,-0.7952302631578947,-0.7705592105263158,0.16666666666666674,0.2763157894736842
ar_padt,0.7,3648,0.8855537280701754,0.8680098684210527,0.8855537280701754,-0.03508771929824561,0.0929770455485604,-0.7711074561403509,-0.7360197368421053,0.13199915464183815,0.22497620019039855
ar_padt,0.8,3648,0.8591008771929824,0.8511513157894737,0.8591008771929824,-0.01589912280701755,0.07170515562577869,-0.7182017543859649,-0.7023026315789473,0.09496151104088794,0.16666666666666663
ar_padt,0.9,3648,0.8163377192982456,0.805921052631579,0.8163377192982456,-0.02083333333333337,0.034936957668152864,-0.6326754385964912,-0.6118421052631579,0.04411764705882352,0.07905460472697638
cs_pdt,0.0,3442,0.7248692620569437,0.7051133062173155,0.7248692620569437,-0.03951191167925622,0.14653897811374883,-0.44973852411388726,-0.41022661243463104,0.13152516850709883,0.27806414662084766
cs_pdt,0.1,3442,0.7258861127251598,0.7142649622312609,0.7258861127251598,-0.02324230098779778,0.1342592592592593,-0.4517722254503196,-0.4285299244625218,0.125,0.2592592592592593
cs_pdt,0.2,3442,0.7226902963393376,0.713683904706566,0.7226902963393376,-0.018012783265543286,0.12128721022128558,-0.4453805926786752,-0.4273678094131319,0.1094820205479452,0.23076923076923078
cs_pdt,0.3,3442,0.7194944799535155,0.713102847181871,0.7194944799535155,-0.012783265543288791,0.11435068261862563,-0.4389889599070308,-0.426205694363742,0.09617563317084801,0.21052631578947364
cs_pdt,0.4,3442,0.7101975595583963,0.7148460197559559,0.7148460197559559,0.009296920395119146,0.09941650655808865,-0.42039511911679256,-0.4296920395119117,0.08906516883458157,0.18848167539267022
cs_pdt,0.5,3442,0.6966879721092388,0.7033701336432306,0.7033701336432306,0.013364323067983741,0.09587020648967542,-0.3933759442184776,-0.40674026728646134,0.0707964601769912,0.16666666666666663
cs_pdt,0.6,3442,0.681725740848344,0.6916037187681581,0.6916037187681581,0.019755955839628137,0.08657094594594593,-0.36345148169668795,-0.3832074375363161,0.05405405405405404,0.14062499999999997
cs_pdt,0.7,3442,0.6737361998837885,0.6798373038930854,0.6798373038930854,0.01220220801859384,0.06567885666246322,-0.347472399767577,-0.35967460778617083,0.03688524590163929,0.1025641025641025
cs_pdt,0.8,3442,0.6397443346891343,0.6551423590935502,0.6551423590935502,0.030796048808832077,0.037634071483667986,-0.27948866937826844,-0.3102847181871005,0.018969702101237638,0.05660377358490563
cs_pdt,0.9,3442,0.5887565368971528,0.6138872748402092,0.6138872748402092,0.05026147588611271,0.0,-0.17751307379430564,-0.22777454968041835,0.0,0.0
