delta_word,delta_head,delta_diff,ci_lo,ci_hi,p_value,n_sentences,treebank_id,baseline_kind,supports_h2,contradicts_h2
-0.7977823717346364,-0.7417778613042662,-0.05600451043037025,-0.0670033828227777,-0.045381507235482045,0.0,5321,ar_padt,B1_uniform,False,True
-0.6156737455365533,-0.6136064649501973,-0.0020672805863559685,-0.012690283781244111,0.007329449351625605,0.676,5321,ar_padt,B2_arity_preserving,False,False
-0.5924558876485416,-0.5398811667266835,-0.05257472092185811,-0.06445804825351098,-0.04132157003961112,0.0,11108,en_ewt,B1_uniform,False,True
-0.05797623334533669,-0.19562477493698235,0.13764854159164566,0.1251777997839395,0.1494035830032409,0.0,11108,en_ewt,B2_arity_preserving,True,False
-0.5233360207829436,-0.3648660754277524,-0.1584699453551912,-0.17267087700438946,-0.14435859535967036,0.0,11163,fi_tdt,B1_uniform,False,True
0.036818059661381346,0.0016124697661918839,-0.03520558989518946,-0.042777479172265515,-0.003816178446654158,0.028,11163,fi_tdt,B2_arity_preserving,False,True
-0.9528369301129055,-0.9276832928397885,-0.025153637273117035,-0.031592110904673384,-0.017436044018865227,0.0,6997,ja_gsd,B1_uniform,False,True
-0.6581392025153637,-0.6967271687866229,0.038587966271259155,0.027297413177075902,0.051314849221094784,0.0,6997,ja_gsd,B2_arity_preserving,True,False
-0.6892901618929016,-0.40348692403486924,-0.28580323785803236,-0.30775996264009964,-0.26212640099626405,0.0,3212,tr_imst,B1_uniform,False,True
-0.12141967621419676,-0.052303860523038606,-0.06911581569115816,-0.09076120797011208,-0.04825653798256537,0.0,3212,tr_imst,B2_arity_preserving,False,True
